round,date,home_team,away_team,home_score,away_score,venue
Round 8,2026-04-18,Catalans Dragons,Warrington Wolves,38,22,Stade Gilbert Brutus
Round 8,2026-04-19,Wigan Warriors,Castleford Tigers,14,24,The Brick Community Stadium
Round 9,2026-04-23,Leigh Leopards,Huddersfield Giants,30,16,Progress with Unity Stadium
Round 9,2026-04-23,York Knights,Toulouse Olympique,38,14,LNER Community Stadium
Round 9,2026-04-24,Castleford Tigers,Hull FC,10,50,OneBore Stadium
Round 9,2026-04-24,Leeds Rhinos,Catalans Dragons,46,4,AMT Headingley Stadium
Round 9,2026-04-24,Warrington Wolves,Wigan Warriors,23,6,Halliwell Jones Stadium
Round 9,2026-04-25,Bradford Bulls,Hull Kingston Rovers,12,48,Bartercard Odsal Stadium
Round 9,2026-04-25,St Helens,Wakefield Trinity,18,12,Brewdog Stadium
Round 10,2026-04-30,Hull Kingston Rovers,Castleford Tigers,50,6,Sewell Group Craven Park
Round 10,2026-05-01,Leeds Rhinos,Wakefield Trinity,40,22,AMT Headingley Stadium
Round 10,2026-05-01,St Helens,York Knights,40,16,Brewdog Stadium
Round 10,2026-05-02,Wigan Warriors,Bradford Bulls,38,14,The Brick Community Stadium
Round 10,2026-05-02,Catalans Dragons,Leigh Leopards,18,33,Stade Gilbert Brutus
Round 10,2026-05-02,Huddersfield Giants,Warrington Wolves,4,34,Accu Stadium
Round 10,2026-05-03,Hull FC,Toulouse Olympique,4,12,MKM Stadium
Round 10,2026-05-09,St Helens,Wigan Warriors,0,32,Halliwell Jones Stadium
Round 10,2026-05-10,Warrington Wolves,Hull Kingston Rovers,12,32,Eco-Power Stadium
Round 11,2026-05-14,Huddersfield Giants,St Helens,18,26,Accu Stadium
Round 11,2026-05-15,Wakefield Trinity,Catalans Dragons,58,10,DIY Kitchens Stadium
Round 11,2026-05-15,Wigan Warriors,Leeds Rhinos,24,4,The Brick Community Stadium
Round 11,2026-05-16,York Knights,Castleford Tigers,18,24,LNER Community Stadium
Round 11,2026-05-16,Leigh Leopards,Hull Kingston Rovers,16,20,Progress with Unity Stadium
Round 11,2026-05-16,Toulouse Olympique,Warrington Wolves,16,24,Stade Michel-Bénichou
Round 11,2026-05-17,Bradford Bulls,Hull FC,16,14,Bartercard Odsal Stadium
Round 12,2026-05-21,Hull Kingston Rovers,Wigan Warriors,62,4,Sewell Group Craven Park
Round 12,2026-05-22,Leeds Rhinos,Huddersfield Giants,52,0,AMT Headingley Stadium
Round 12,2026-05-22,Leigh Leopards,Hull FC,42,6,Progress with Unity Stadium
Round 12,2026-05-23,Castleford Tigers,St Helens,30,10,OneBore Stadium
Round 12,2026-05-23,Toulouse Olympique,Wakefield Trinity,18,22,Stade Ernest Wallon
Round 12,2026-05-23,York Knights,Catalans Dragons,22,36,LNER Community Stadium
Round 12,2026-05-24,Warrington Wolves,Bradford Bulls,26,12,Halliwell Jones Stadium
Round 12,2026-05-30,Wigan Warriors,Hull Kingston Rovers,40,10,Wembley Stadium
Round 13,2026-06-04,Leeds Rhinos,St Helens,24,16,AMT Headingley Stadium
Round 13,2026-06-05,Bradford Bulls,York Knights,30,20,Bartercard Odsal Stadium
Round 13,2026-06-05,Castleford Tigers,Leigh Leopards,14,24,OneBore Stadium
Round 13,2026-06-05,Warrington Wolves,Hull FC,12,4,Halliwell Jones Stadium
Round 13,2026-06-06,Huddersfield Giants,Toulouse Olympique,16,36,FLAIR Stadium
